Member_Id,ListAs,DisplayAs,FullTitle
1469,"Cunningham, Tony",Sir Tony Cunningham,Sir Tony Cunningham MP
496,"Cunningham of Felling, L.",Lord Cunningham of Felling,The Rt Hon. the Lord Cunningham of Felling DL
3982,"Curran, Margaret",Margaret Curran,Margaret Curran MP
1140,"Currie, Edwina",Mrs Edwina Currie,Mrs Edwina Currie
383,"Curry, David",Mr David Curry,Mr David Curry
480,"Curtis-Thomas, Claire",Mrs Claire Curtis-Thomas,Mrs Claire Curtis-Thomas
674,"Dafis, Cynog",Cynog Dafis,Cynog Dafis
1395,"Daisley, Paul",Mr Paul Daisley,Mr Paul Daisley
4056,"Dakin, Nic",Nic Dakin,Nic Dakin MP
622,"Dalyell, Tam",Tam Dalyell,Tam Dalyell
4059,"Danczuk, Simon",Simon Danczuk,Simon Danczuk MP
596,"Darling, Alistair",Mr Alistair Darling,Rt Hon Alistair Darling MP
208,"Darvill, Keith",Mr Keith Darvill,Mr Keith Darvill
188,"Davey, Edward",Mr Edward Davey,Rt Hon Edward Davey MP
218,"Davey, Valerie",Valerie Davey,Valerie Davey
1398,"David, Wayne",Wayne David,Wayne David MP
1094,"Davidson, Arthur",Arthur Davidson,Arthur Davidson
611,"Davidson, Ian",Mr Ian Davidson,Mr Ian Davidson MP
1635,"Davidson, James",James  Davidson,James  Davidson
697,"Davies, Chris",Chris Davies,Chris Davies
1602,"Davies, Dai",Mr Dai Davies,Mr Dai Davies
1545,"Davies, David T. C.",David T. C. Davies,David T. C. Davies MP
539,"Davies, Denzil",Denzil Davies,Rt Hon Denzil Davies
1636,"Davies, Ernest",Ernest  Davies,Ernest  Davies
155,"Davies, Geraint",Geraint Davies,Geraint Davies MP
4041,"Davies, Glyn",Glyn Davies,Glyn Davies MP
1011,"Davies, Ifor",Ifor Davies,Ifor Davies
1565,"Davies, Philip",Philip Davies,Philip Davies MP
552,"Davies, Ron",Mr Ron Davies,Rt Hon Ron Davies
987,"Davies of Oldham, L.",Lord Davies of Oldham,The Rt Hon. the Lord Davies of Oldham
346,"Davies of Stamford, L.",Lord Davies of Stamford,The Lord Davies of Stamford
373,"Davis, David",Mr David Davis,Rt Hon David Davis MP
299,"Davis, Terry",Mr Terry Davis,Rt Hon Terry Davis
470,"Dawson, Hilton",Mr Hilton Dawson,Mr Hilton Dawson
442,"Day, Stephen",Mr Stephen Day,Mr Stephen Day
4002,"de Bois, Nick",Nick de Bois,Nick de Bois MP
3915,"De Piero, Gloria",Gloria De Piero,Gloria De Piero MP
796,"Deakins, Eric",Eric Deakins,Eric Deakins
278,"Dean, Janet",Mrs Janet Dean,Mrs Janet Dean
1107,"Dean, Joe",Joe Dean,Joe Dean
1096,"Dean, Paul",Sir Paul Dean,Rt Hon Sir Paul Dean
4154,"Deben, L.",Lord Deben,The Rt Hon. the Lord Deben
797,"Dempsey, James",James Dempsey,James Dempsey
61,"Denham, John",Mr John Denham,Rt Hon John Denham MP
798,"Deva, Nirj",Nirj Deva,Nirj Deva
1599,"Devine, Jim",Mr Jim Devine,Mr Jim Devine
1637,"Devlin, Bernadette",Bernadette  Devlin,Bernadette  Devlin
1210,"Devlin, Tim",Mr Tim Devlin,Mr Tim Devlin
678,"Dewar, Donald",Donald Dewar,Rt Hon Donald Dewar
1420,"Dhanda, Parmjit",Mr Parmjit Dhanda,Mr Parmjit Dhanda
696,"Dickens, Geoffrey",Geoffrey Dickens,Geoffrey Dickens
1638,"Dickens, James",James  Dickens,James  Dickens
799,"Dicks, Terry",Terry Dicks,Terry Dicks
4008,"Dinenage, Caroline",Caroline Dinenage,Caroline Dinenage MP
179,"Dismore, Andrew",Mr Andrew Dismore,Mr Andrew Dismore
1126,"Dixon, L.",Lord Dixon,The Rt Hon. the Lord Dixon
1639,"Dixon, Piers",Piers  Dixon,Piers  Dixon
1425,"Djanogly, Jonathan",Mr Jonathan Djanogly,Mr Jonathan Djanogly MP
446,"Dobbin, Jim",Jim Dobbin,Jim Dobbin
180,"Dobson, Frank",Frank Dobson,Rt Hon Frank Dobson MP
3962,"Docherty, Thomas",Thomas Docherty,Thomas Docherty MP
1388,"Dodds, Nigel",Mr Nigel Dodds,Rt Hon Nigel Dodds MP
800,"Dodsworth, Geoffrey",Geoffrey Dodsworth,Geoffrey Dodsworth
1465,"Doherty, Pat",Mr Pat Doherty,Mr Pat Doherty MP
650,"Donaldson, Jeffrey M.",Mr Jeffrey M. Donaldson,Rt Hon Jeffrey M. Donaldson MP
586,"Donohoe, Brian H.",Mr Brian H. Donohoe,Mr Brian H. Donohoe MP
570,"Doran, Frank",Mr Frank Doran,Mr Frank Doran MP
801,"Dormand, Jack",Jack Dormand,Jack Dormand
336,"Dorrell, Stephen",Mr Stephen Dorrell,Rt Hon Stephen Dorrell MP
1481,"Dorries, Nadine",Nadine Dorries,Nadine Dorries MP
4264,"Doughty, Stephen",Stephen Doughty,Stephen Doughty MP
1422,"Doughty, Sue",Sue Doughty,Sue Doughty
1050,"Douglas, Dick",Dick Douglas,Dick Douglas
803,"Douglas-Mann, Bruce",Bruce Douglas-Mann,Bruce Douglas-Mann
683,"Dover, Den",Den Dover,Den Dover
189,"Dowd, Jim",Jim Dowd,Jim Dowd MP
4063,"Doyle, Gemma",Gemma Doyle,Gemma Doyle MP
4065,"Doyle-Price, Jackie",Jackie Doyle-Price,Jackie Doyle-Price MP
4132,"Drax, Richard",Richard Drax,Richard Drax MP
252,"Drew, David",Mr David Drew,Mr David Drew
3913,"Dromey, Jack",Jack Dromey,Jack Dromey MP
263,"Drown, Julia",Julia Drown,Julia Drown
804,"du Cann, Edward",Sir Edward du Cann,Rt Hon Sir Edward du Cann
805,"Dubs, L.",Lord Dubs,The Lord Dubs
1559,"Duddridge, James",James Duddridge,James Duddridge MP
806,"Duffy, Patrick",Sir Patrick Duffy,Sir Patrick Duffy
3916,"Dugher, Michael",Michael Dugher,Michael Dugher MP
343,"Duncan, Alan",Sir Alan Duncan,Rt Hon Sir Alan Duncan MP
1417,"Duncan, Peter",Mr Peter Duncan,Mr Peter Duncan
152,"Duncan Smith, Iain",Mr Iain Duncan Smith,Rt Hon Iain Duncan Smith MP
807,"Dunlop, John",John Dunlop,John Dunlop
1194,"Dunn, Bob",Mr Bob Dunn,Mr Bob Dunn
1015,"Dunn, James",James Dunn,James Dunn
808,"Dunnachie, Jimmy",Jimmy Dunnachie,Jimmy Dunnachie
1542,"Dunne, Philip",Mr Philip Dunne,Mr Philip Dunne MP
809,"Dunnett, Jack",Jack Dunnett,Jack Dunnett
426,"Dunwoody, Gwyneth",Mrs Gwyneth Dunwoody,Mrs Gwyneth Dunwoody
1054,"Durant, Anthony",Sir Anthony Durant,Sir Anthony Durant
1594,"Durkan, Mark",Mark Durkan,Mark Durkan MP
810,"Dykes, L.",Lord Dykes,The Lord Dykes
811,"Eadie, Alex",Alex Eadie,Alex Eadie
491,"Eagle, Angela",Ms Angela Eagle,Ms Angela Eagle MP
483,"Eagle, Maria",Maria Eagle,Maria Eagle MP
812,"Eastham, Ken",Ken Eastham,Ken Eastham
813,"Eden of Winton, L.",Lord Eden of Winton,The Rt Hon. the Lord Eden of Winton
1640,"Edge, Geoffrey",Geoffrey  Edge,Geoffrey  Edge
543,"Edwards, Huw",Mr Huw Edwards,Mr Huw Edwards
3943,"Edwards, Jonathan",Jonathan Edwards,Jonathan Edwards MP
1052,"Edwards, Robert",Robert Edwards,Robert Edwards
165,"Efford, Clive",Clive Efford,Clive Efford MP
814,"Eggar, Tim",Tim Eggar,Rt Hon Tim Eggar
2816,"Elis-Thomas, L.",Lord Elis-Thomas,The Rt Hon. the Lord Elis-Thomas
815,"Elletson, Harold",Harold Elletson,Harold Elletson
4127,"Elliott, Julie",Julie Elliott,Julie Elliott MP
816,"Elliott of Morpeth, L.",Lord Elliott of Morpeth,The Lord Elliott of Morpeth DL
1641,"Ellis, John",John  Ellis,John  Ellis
4116,"Ellis, Michael",Michael Ellis,Michael Ellis MP
1127,"Ellis, Ray",Ray Ellis,Ray Ellis
1057,"Ellis, Tom",Tom Ellis,Tom Ellis
3918,"Ellison, Jane",Jane Ellison,Jane Ellison MP
484,"Ellman, Louise",Mrs Louise Ellman,Mrs Louise Ellman MP
1487,"Ellwood, Tobias",Mr Tobias Ellwood,Mr Tobias Ellwood MP
3971,"Elphicke, Charlie",Charlie Elphicke,Charlie Elphicke MP
2809,"Elystan-Morgan, L.",Lord Elystan-Morgan,The Lord Elystan-Morgan
229,"Emery, Peter",Sir Peter Emery,Rt Hon Sir Peter Emery
1507,"Engel, Natascha",Natascha Engel,Natascha Engel MP
817,"English, Michael",Michael English,Michael English
2959,"Ennals, L.",Lord Ennals,The Lord Ennals
387,"Ennis, Jeff",Jeff Ennis,Jeff Ennis
698,"Enright, Derek",Derek Enright,Derek Enright
4061,"Esterson, Bill",Bill Esterson,Bill Esterson MP
526,"Etherington, Bill",Bill Etherington,Bill Etherington
3934,"Eustice, George",George Eustice,George Eustice MP
4040,"Evans, Chris",Chris Evans,Chris Evans MP
1158,"Evans, David",David Evans,David Evans
4081,"Evans, Graham",Graham Evans,Graham Evans MP
1005,"Evans, Gwynfor",Gwynfor Evans,Gwynfor Evans
1012,"Evans, Ioan",Ioan Evans,Ioan Evans
1166,"Evans, Jonathan",Jonathan Evans,Jonathan Evans MP
474,"Evans, Nigel",Mr Nigel Evans,Mr Nigel Evans MP
1217,"Evans, Roger",Mr Roger Evans,Mr Roger Evans
1082,"Evans of Parkside, L.",Lord Evans of Parkside,The Lord Evans of Parkside
1198,"Evennett, David",Mr David Evennett,Mr David Evennett MP
1443,"Ewing, Annabelle",Annabelle Ewing,Annabelle Ewing
1103,"Ewing, Harry",Harry Ewing,Harry Ewing
625,"Ewing, Margaret",Mrs Margaret Ewing,Mrs Margaret Ewing
1642,"Ewing, Winifred",Winifred  Ewing,Winifred  Ewing
1049,"Eyre, Reginald",Sir Reginald Eyre,Sir Reginald Eyre
264,"Faber, David",Mr David Faber,Mr David Faber
280,"Fabricant, Michael",Michael Fabricant,Michael Fabricant MP
694,"Fairbairn, Nicholas",Sir Nicholas Fairbairn,Sir Nicholas Fairbairn
819,"Fairgrieve, Russell",Sir Russell Fairgrieve,Sir Russell Fairgrieve
820,"Faith, Sheila",Mrs Sheila Faith,Mrs Sheila Faith
88,"Fallon, Michael",Michael Fallon,Rt Hon Michael Fallon MP
821,"Farr, John",Sir John Farr,Sir John Farr
1436,"Farrelly, Paul",Paul Farrelly,Paul Farrelly MP
1591,"Farron, Tim",Tim Farron,Tim Farron MP
669,"Fatchett, Derek",Derek Fatchett,Rt Hon Derek Fatchett
822,"Faulds, Andrew",Andrew Faulds,Andrew Faulds
823,"Favell, Anthony",Anthony Favell,Anthony Favell
488,"Fearn, L.",Lord Fearn,The Lord Fearn OBE
1531,"Featherstone, Lynne",Lynne Featherstone,Rt Hon Lynne Featherstone MP
824,"Fell, Anthony",Sir Anthony Fell,Sir Anthony Fell
733,"Fenner, Peggy",Dame  Peggy Fenner,Dame  Peggy Fenner
1159,"Field, Barry",Barry Field,Barry Field
478,"Field, Frank",Mr Frank Field,Rt Hon Frank Field MP
1405,"Field, Mark",Mark Field,Mark Field MP
825,"Fields, Terry",Terry Fields,Terry Fields
2933,"Finsberg, L.",Lord Finsberg,The Lord Finsberg
703,"Fishburn, Dudley",Dudley Fishburn,Dudley Fishburn
285,"Fisher, Mark",Mark Fisher,Mark Fisher
1040,"Fisher, Nigel",Sir Nigel Fisher,Sir Nigel Fisher
827,"Fitch, Alan",Alan Fitch,Alan Fitch
2780,"Fitt, L.",Lord Fitt,The Lord Fitt
197,"Fitzpatrick, Jim",Jim Fitzpatrick,Jim Fitzpatrick MP
455,"Fitzsimons, Lorna",Mrs Lorna Fitzsimons,Mrs Lorna Fitzsimons
1030,"Flannery, Martin",Martin Flannery,Martin Flannery
1569,"Flello, Robert",Robert Flello,Robert Flello MP
983,"Fletcher, Alexander",Sir Alexander Fletcher,Sir Alexander Fletcher
998,"Fletcher, Edward",Edward Fletcher,Edward Fletcher
1029,"Fletcher, Raymond",Raymond Fletcher,Raymond Fletcher
829,"Fletcher-Cooke, Charles",Sir Charles Fletcher-Cooke,Sir Charles Fletcher-Cooke
4211,"Flight, L.",Lord Flight,The Lord Flight
389,"Flint, Caroline",Caroline Flint,Rt Hon Caroline Flint MP
1459,"Flook, Adrian",Mr Adrian Flook,Mr Adrian Flook
545,"Flynn, Paul",Paul Flynn,Paul Flynn MP
72,"Follett, Barbara",Barbara Follett,Barbara Follett
830,"Fookes, B.",Baroness Fookes,The Baroness Fookes DBE
831,"Foot, Michael",Michael Foot,Rt Hon Michael Foot
832,"Ford, Ben",Ben Ford,Ben Ford
833,"Forman, Nigel",Nigel Forman,Nigel Forman
834,"Forrester, John",John Forrester,John Forrester
1141,"Forsyth of Drumlean, L.",Lord Forsyth of Drumlean,The Rt Hon. the Lord Forsyth of Drumlean
677,"Forsythe, Clifford",Clifford Forsythe,Clifford Forsythe
149,"Forth, Eric",Mr Eric Forth,Rt Hon Eric Forth
214,"Foster, Don",Mr Don Foster,Rt Hon Don Foster MP
271,"Foster, Michael",Mr Michael Foster,Mr Michael Foster
26,"Foster, Michael Jabez",Michael Jabez Foster,Michael Jabez Foster
506,"Foster of Bishop Auckland, L.",Lord Foster of Bishop Auckland,The Rt Hon. the Lord Foster of Bishop Auckland DL
579,"Foulkes of Cumnock, L.",Lord Foulkes of Cumnock,The Rt Hon. the Lord Foulkes of Cumnock
4034,"Fovargue, Yvonne",Yvonne Fovargue,Yvonne Fovargue MP
315,"Fowler, L.",Lord Fowler,The Rt Hon. the Lord Fowler
223,"Fox, Liam",Dr Liam Fox,Rt Hon Dr Liam Fox MP
1025,"Fox, Marcus",Sir Marcus Fox,Rt Hon Sir Marcus Fox
134,"Framlingham, L.",Lord Framlingham,The Lord Framlingham
1382,"Francis, Hywel",Dr Hywel Francis,Dr Hywel Francis MP
1444,"Francois, Mark",Mr Mark Francois,Rt Hon Mark Francois MP
835,"Franks, Cecil",Cecil Franks,Cecil Franks
243,"Fraser, Christopher",Christopher Fraser,Christopher Fraser
1007,"Fraser, Hugh",Sir Hugh Fraser,Rt Hon Sir Hugh Fraser
1021,"Fraser, John",John Fraser,John Fraser
1128,"Fraser of Carmyllie, L.",Lord Fraser of Carmyllie,The Rt Hon. the Lord Fraser of Carmyllie QC
4020,"Freeman, George",George Freeman,George Freeman MP
1643,"Freeman , John",John  Freeman,Rt Hon John  Freeman
836,"Freeman, L.",Lord Freeman,The Rt Hon. the Lord Freeman
4004,"Freer, Mike",Mike Freer,Mike Freer MP
837,"Freeson, Reginald",Reginald Freeson,Rt Hon Reginald Freeson
1644,"Freeth, Denzil",Denzil  Freeth,Denzil  Freeth
1160,"French, Douglas",Douglas French,Douglas French
838,"Freud, Clement",Sir Clement Freud,Sir Clement Freud
1044,"Fry, Peter",Sir Peter Fry,Sir Peter Fry
4121,"Fullbrook, Lorraine",Lorraine Fullbrook,Lorraine Fullbrook MP
3912,"Fuller, Richard",Richard Fuller,Richard Fuller MP
610,"Fyfe, Maria",Mrs Maria Fyfe,Mrs Maria Fyfe
637,"Galbraith, Sam",Mr Sam Galbraith,Mr Sam Galbraith
1117,"Galbraith, Tam",Sir Tam Galbraith,Sir Tam Galbraith
87,"Gale, Roger",Sir Roger Gale,Sir Roger Gale MP
839,"Galley, Roy",Roy Galley,Roy Galley
1221,"Gallie, Phil",Mr Phil Gallie,Mr Phil Gallie
609,"Galloway, George",Mr George Galloway,Mr George Galloway MP
184,"Gapes, Mike",Mike Gapes,Mike Gapes MP
146,"Gardiner, Barry",Barry Gardiner,Barry Gardiner MP
1101,"Gardiner, George",Sir George Gardiner,Sir George Gardiner
1645,"Gardner, Antony",Antony  Gardner,Antony  Gardner
999,"Gardner, Edward",Sir Edward Gardner,Sir Edward Gardner
840,"Garel-Jones, L.",Lord Garel-Jones,The Rt Hon. the Lord Garel-Jones
337,"Garnier, Edward",Sir Edward Garnier,Sir Edward Garnier QC MP
4074,"Garnier, Mark",Mark Garnier,Mark Garnier MP
841,"Garrett, Edward",Edward Garrett,Edward Garrett
842,"Garrett, John",John Garrett,John Garrett
1529,"Gauke, David",Mr David Gauke,Mr David Gauke MP
227,"George, Andrew",Andrew George,Andrew George MP
317,"George, Bruce",Mr Bruce George,Mr Bruce George
211,"Gerrard, Neil",Mr Neil Gerrard,Mr Neil Gerrard
111,"Gibb, Nick",Mr Nick Gibb,Mr Nick Gibb MP
129,"Gibson, Ian",Dr Ian Gibson,Dr Ian Gibson
60,"Gidley, Sandra",Sandra Gidley,Sandra Gidley
843,"Gilbert, L.",Lord Gilbert,The Rt Hon. the Lord Gilbert
4101,"Gilbert, Stephen",Stephen Gilbert,Stephen Gilbert MP
1416,"Gildernew, Michelle",Michelle Gildernew,Michelle Gildernew MP
273,"Gill, Christopher",Mr Christopher Gill,Mr Christopher Gill
1172,"Gill, Parmjit Singh",Parmjit Singh Gill,Parmjit Singh Gill
18,"Gillan, Cheryl",Mrs Cheryl Gillan,Rt Hon Cheryl Gillan MP
3965,"Gilmore, Sheila",Sheila Gilmore,Sheila Gilmore MP
2606,"Gilmour of Craigmillar, L.",Lord Gilmour of Craigmillar,The Rt Hon. the Lord Gilmour of Craigmillar
233,"Gilroy, Linda",Linda Gilroy,Linda Gilroy
845,"Ginsburg, David",David Ginsburg,David Ginsburg
4103,"Glass, Pat",Pat Glass,Pat Glass MP
4051,"Glen, John",John Glen,John Glen MP
1692,"Glenamara, L.",Lord Glenamara,The Rt Hon. the Lord Glenamara CH
4126,"Glindon, Mary",Mrs Mary Glindon,Mrs Mary Glindon MP
981,"Glyn, Alan",Sir Alan Glyn,Sir Alan Glyn
616,"Godman, Norman",Dr Norman Godman,Dr Norman Godman
304,"Godsiff, Roger",Mr Roger Godsiff,Mr Roger Godsiff MP
462,"Goggins, Paul",Paul Goggins,Rt Hon Paul Goggins
281,"Golding, B.",Baroness Golding,The Baroness Golding
1106,"Golding, John",John Golding,John Golding
4062,"Goldsmith, Zac",Zac Goldsmith,Zac Goldsmith MP
1519,"Goldsworthy, Julia",Julia Goldsworthy,Julia Goldsworthy
846,"Goodhart, Philip",Sir Philip Goodhart,Sir Philip Goodhart
847,"Goodhew, Victor",Sir Victor Goodhew,Sir Victor Goodhew
670,"Goodlad, L.",Lord Goodlad,The Rt Hon. the Lord Goodlad KCMG
1484,"Goodman, Helen",Helen Goodman,Helen Goodman MP
1471,"Goodman, Paul",Mr Paul Goodman,Mr Paul Goodman
848,"Goodson-Wickes, Charles",Dr Charles Goodson-Wickes,Dr Charles Goodson-Wickes
1562,"Goodwill, Robert",Mr Robert Goodwill,Mr Robert Goodwill MP
201,"Gordon, Eileen",Mrs Eileen Gordon,Mrs Eileen Gordon
1161,"Gordon, Mildred",Mildred Gordon,Mildred Gordon
31,"Gorman, Teresa",Mrs Teresa Gorman,Mrs Teresa Gorman
601,"Gorrie, Donald",Mr Donald Gorrie,Mr Donald Gorrie
1026,"Gorst, John",Sir John Gorst,Sir John Gorst
691,"Gould, Bryan",Bryan Gould,Bryan Gould
849,"Gourlay, Harry",Harry Gourlay,Harry Gourlay
1571,"Gove, Michael",Michael Gove,Rt Hon Michael Gove MP
718,"Gow, Ian",Ian Gow,Ian Gow
710,"Gower, Raymond",Sir Raymond Gower,Sir Raymond Gower
3990,"Graham, Richard",Richard Graham,Richard Graham MP
640,"Graham, Tommy",Mr Tommy Graham,Mr Tommy Graham
1068,"Graham of Edmonton, L.",Lord Graham of Edmonton,The Rt Hon. the Lord Graham of Edmonton
1019,"Grant, Anthony",Sir Anthony Grant,Sir Anthony Grant
676,"Grant, Bernie",Bernie Grant,Bernie Grant
1003,"Grant, George",George Grant,George Grant
4018,"Grant, Helen",Mrs Helen Grant,Mrs Helen Grant MP
664,"Grant, John",John Grant,John Grant
1017,"Gray, Hamish",Hamish Gray,Rt Hon Hamish Gray
261,"Gray, James",Mr James Gray,Mr James Gray MP
1413,"Grayling, Chris",Chris Grayling,Rt Hon Chris Grayling MP
4047,"Greatrex, Tom",Tom Greatrex,Tom Greatrex MP
76,"Green, Damian",Damian Green,Rt Hon Damian Green MP
4120,"Green, Kate",Kate Green,Kate Green MP
1429,"Green, Matthew",Matthew Green,Matthew Green
1555,"Greening, Justine",Justine Greening,Rt Hon Justine Greening MP
1129,"Greenway, Harry",Harry Greenway,Harry Greenway
380,"Greenway, John",Mr John Greenway,Mr John Greenway
4029,"Greenwood, Lilian",Lilian Greenwood,Lilian Greenwood MP
1142,"Gregory, Conal",Conal Gregory,Conal Gregory
16,"Grieve, Dominic",Mr Dominic Grieve,Rt Hon Dominic Grieve QC MP
1076,"Grieve, Percy",Percy Grieve,Percy Grieve
1541,"Griffith, Nia",Nia Griffith,Nia Griffith MP
3936,"Griffiths, Andrew",Andrew Griffiths,Andrew Griffiths MP
1098,"Griffiths, Eldon",Sir Eldon Griffiths,Sir Eldon Griffiths
10,"Griffiths, Jane",Jane Griffiths,Jane Griffiths
600,"Griffiths, Nigel",Nigel Griffiths,Nigel Griffiths
1110,"Griffiths, Peter",Peter Griffiths,Peter Griffiths
551,"Griffiths, Win",Mr Win Griffiths,Mr Win Griffiths
3078,"Grimond, L.",Lord Grimond,The Lord Grimond
851,"Grist, Ian",Ian Grist,Ian Grist
276,"Grocott, L.",Lord Grocott,The Rt Hon. the Lord Grocott
382,"Grogan, John",Mr John Grogan,Mr John Grogan
852,"Ground, Patrick",Patrick Ground,Patrick Ground
853,"Grylls, Michael",Sir Michael Grylls,Sir Michael Grylls
3988,"Gummer, Ben",Ben Gummer,Ben Gummer MP
418,"Gunnell, John",Mr John Gunnell,Mr John Gunnell
1506,"Gwynne, Andrew",Andrew Gwynne,Andrew Gwynne MP
3980,"Gyimah, Sam",Mr Sam Gyimah,Mr Sam Gyimah MP
379,"Hague, William",Mr William Hague,Rt Hon William Hague MP
567,"Hain, Peter",Mr Peter Hain,Rt Hon Peter Hain MP
3985,"Halfon, Robert",Robert Halfon,Robert Halfon MP
1646,"Hall, Joan",Joan  Hall,Joan  Hall
434,"Hall, Mike",Mr Mike Hall,Mr Mike Hall
1,"Hall, Patrick",Patrick Hall,Patrick Hall
3951,"Hames, Duncan",Duncan Hames,Duncan Hames MP
1432,"Hamilton, David",Mr David Hamilton,Mr David Hamilton MP
415,"Hamilton, Fabian",Fabian Hamilton,Fabian Hamilton MP
978,"Hamilton, James",James Hamilton,James Hamilton
1647,"Hamilton, Marquess of",Marquess of Hamilton,Marquess of Hamilton
1034,"Hamilton, Michael",Sir Michael Hamilton,Sir Michael Hamilton
731,"Hamilton, Neil",Neil Hamilton,Neil Hamilton
1080,"Hamilton, Willie",Willie Hamilton,Willie Hamilton
100,"Hamilton of Epsom, L.",Lord Hamilton of Epsom,The Rt Hon. the Lord Hamilton of Epsom
105,"Hammond, Philip",Mr Philip Hammond,Rt Hon Philip Hammond MP
1585,"Hammond, Stephen",Stephen Hammond,Stephen Hammond MP
854,"Hampson, Keith",Dr Keith Hampson,Dr Keith Hampson
4070,"Hancock, Matthew",Matthew Hancock,Rt Hon Matthew Hancock MP
59,"Hancock, Mike",Mr Mike Hancock,Mr Mike Hancock MP
1526,"Hands, Greg",Greg Hands,Rt Hon Greg Hands MP
734,"Hanley, Jeremy",Sir Jeremy Hanley,Rt Hon Sir Jeremy Hanley
729,"Hannam, John",Sir John Hannam,Sir John Hannam
533,"Hanson, David",Mr David Hanson,Rt Hon David Hanson MP
1043,"Hardy, Peter",Peter Hardy,Peter Hardy
856,"Hargreaves, Andrew",Andrew Hargreaves,Andrew Hargreaves
855,"Hargreaves, Kenneth",Kenneth Hargreaves,Kenneth Hargreaves
150,"Harman, Harriet",Ms Harriet Harman,Rt Hon Harriet Harman QC MP
1520,"Harper, Mark",Mr Mark Harper,Mr Mark Harper MP
4068,"Harrington, Richard",Richard Harrington,Richard Harrington MP
1143,"Harris, David",David Harris,David Harris
96,"Harris, Evan",Dr Evan Harris,Dr Evan Harris
3948,"Harris, Rebecca",Rebecca Harris,Rebecca Harris MP
1418,"Harris, Tom",Mr Tom Harris,Mr Tom Harris MP
1648,"Harrison, Brian",Brian  Harrison,Brian  Harrison
1072,"Harrison, Walter",Walter Harrison,Rt Hon Walter Harrison
857,"Hart, Judith",Dame  Judith Hart,Rt Hon Dame  Judith Hart
3944,"Hart, Simon",Simon Hart,Simon Hart MP
231,"Harvey, Nick",Sir Nick Harvey,Sir Nick Harvey MP
1144,"Harvey, Robert",Robert Harvey,Robert Harvey
43,"Haselhurst, Alan",Sir Alan Haselhurst,Rt Hon Sir Alan Haselhurst MP
1066,"Hastings, Stephen",Sir Stephen Hastings,Sir Stephen Hastings
858,"Hattersley, L.",Lord Hattersley,The Rt Hon. the Lord Hattersley
1430,"Havard, Dai",Mr Dai Havard,Mr Dai Havard MP
859,"Havers, Michael",Sir Michael Havers,Rt Hon Sir Michael Havers
1145,"Hawkins, Christopher",Christopher Hawkins,Christopher Hawkins
108,"Hawkins, Nick",Mr Nick Hawkins,Mr Nick Hawkins
1109,"Hawkins, Paul",Sir Paul Hawkins,Sir Paul Hawkins
860,"Hawksley, Warren",Warren Hawksley,Warren Hawksley
1146,"Hayes, Jerry",Jerry Hayes,Jerry Hayes
350,"Hayes, John",Mr John Hayes,Rt Hon John Hayes MP
861,"Hayhoe, L.",Lord Hayhoe,The Rt Hon. the Lord Hayhoe
1649,"Hayman, B.",Baroness Hayman,The Rt Hon. the Baroness Hayman GBE
862,"Haynes, Frank",Frank Haynes,Frank Haynes
863,"Hayward, Robert",Robert Hayward,Robert Hayward
311,"Heal, Sylvia",Sylvia Heal,Sylvia Heal
69,"Heald, Oliver",Sir Oliver Heald,Sir Oliver Heald QC MP
400,"Healey, John",John Healey,Rt Hon John Healey MP
979,"Healey, L.",Lord Healey,The Rt Hon. the Lord Healey CH MBE
255,"Heath, David",Mr David Heath,Mr David Heath MP
195,"Heath, Edward",Sir Edward Heath,Rt Hon Sir Edward Heath
257,"Heathcoat-Amory, David",Mr David Heathcoat-Amory,Rt Hon David Heathcoat-Amory
3977,"Heaton-Harris, Chris",Chris Heaton-Harris,Chris Heaton-Harris MP
713,"Heddle, John",John Heddle,John Heddle
725,"Heffer, Eric",Eric Heffer,Eric Heffer
1483,"Hemming, John",John Hemming,John Hemming MP
1130,"Henderson, Barry",Barry Henderson,Barry Henderson
522,"Henderson, Doug",Mr Doug Henderson,Mr Doug Henderson
4050,"Henderson, Gordon",Gordon Henderson,Gordon Henderson MP
38,"Henderson, Ivan",Mr Ivan Henderson,Mr Ivan Henderson
473,"Hendrick, Mark",Mark Hendrick,Mark Hendrick MP
864,"Hendron, Joe",Joe Hendron,Joe Hendron
1220,"Hendry, Charles",Charles Hendry,Charles Hendry MP
1650,"Henig, Stanley",Stanley  Henig,Stanley  Henig
520,"Hepburn, Stephen",Mr Stephen Hepburn,Mr Stephen Hepburn MP
363,"Heppell, John",Mr John Heppell,Mr John Heppell
1479,"Herbert, Nick",Nick Herbert,Rt Hon Nick Herbert MP
1437,"Hermon, Lady",Lady Hermon,Lady Hermon MP
94,"Heseltine, L.",Lord Heseltine,The Rt Hon. the Lord Heseltine CH
493,"Hesford, Stephen",Stephen Hesford,Stephen Hesford
340,"Hewitt, Patricia",Ms Patricia Hewitt,Ms Patricia Hewitt
1386,"Heyes, David",David Heyes,David Heyes MP
865,"Hickmet, Richard",Richard Hickmet,Richard Hickmet
1162,"Hicks, Maureen",Mrs Maureen Hicks,Mrs Maureen Hicks
1053,"Hicks, Robert",Sir Robert Hicks,Sir Robert Hicks
1067,"Higgins, L.",Lord Higgins,The Rt Hon. the Lord Higgins KBE DL
1065,"Hill, James",Sir James Hill,Sir James Hill
