Member_Id,ListAs,DisplayAs,FullTitle
385,"Bayley, Hugh",Sir Hugh Bayley,Sir Hugh Bayley MP
144,"Beard, Nigel",Mr Nigel Beard,Mr Nigel Beard
746,"Beaumont-Dark, Anthony",Sir Anthony Beaumont-Dark,Sir Anthony Beaumont-Dark
3910,"Bebb, Guto",Guto Bebb,Guto Bebb MP
328,"Beckett, Margaret",Margaret Beckett,Rt Hon Margaret Beckett MP
572,"Begg, Anne",Dame  Anne Begg,Dame  Anne Begg MP
646,"Beggs, Roy",Mr Roy Beggs,Mr Roy Beggs
513,"Beith, Alan",Sir Alan Beith,Rt Hon Sir Alan Beith MP
431,"Bell, Martin",Mr Martin Bell,Mr Martin Bell
1060,"Bell, Ronald",Sir Ronald Bell,Sir Ronald Bell
501,"Bell, Stuart",Sir Stuart Bell,Sir Stuart Bell
1441,"Bellingham, Henry",Mr Henry Bellingham,Mr Henry Bellingham MP
719,"Bellotti, David",David Bellotti,David Bellotti
1192,"Bendall, Vivian",Mr Vivian Bendall,Mr Vivian Bendall
413,"Benn, Hilary",Hilary Benn,Rt Hon Hilary Benn MP
326,"Benn, Tony",Mr Tony Benn,Rt Hon Tony Benn
443,"Bennett, Andrew",Andrew Bennett,Andrew Bennett
1002,"Bennett, Frederic",Sir Frederic Bennett,Rt Hon Sir Frederic Bennett
1089,"Bennett, Nicholas",Nicholas Bennett,Nicholas Bennett
479,"Benton, Joe",Mr Joe Benton,Mr Joe Benton MP
1547,"Benyon, Richard",Richard Benyon,Richard Benyon MP
1086,"Benyon, Thomas",Thomas Benyon,Thomas Benyon
1077,"Benyon, William",Sir William Benyon,Sir William Benyon
17,"Bercow, John",John Bercow,Rt Hon John Bercow MP
103,"Beresford, Paul",Sir Paul Beresford,Sir Paul Beresford MP
4036,"Berger, Luciana",Luciana Berger,Luciana Berger MP
490,"Bermingham, Gerry",Mr Gerry Bermingham,Mr Gerry Bermingham
1083,"Berry, Anthony",Sir Anthony Berry,Sir Anthony Berry
4060,"Berry, Jake",Jake Berry,Jake Berry MP
219,"Berry, Roger",Roger Berry,Roger Berry
416,"Best, Harold",Mr Harold Best,Mr Harold Best
1087,"Best, Keith",Keith Best,Keith Best
394,"Betts, Clive",Mr Clive Betts,Mr Clive Betts MP
747,"Bevan, David Gilroy",David Gilroy Bevan,David Gilroy Bevan
748,"Bidwell, Sydney",Sydney Bidwell,Sydney Bidwell
749,"Biffen, John",John Biffen,Rt Hon John Biffen
706,"Biggs-Davison, John",Sir John Biggs-Davison,Sir John Biggs-Davison
322,"Bilston, L.",Lord Bilston,The Lord Bilston
3994,"Bingham, Andrew",Andrew Bingham,Andrew Bingham MP
1550,"Binley, Brian",Mr Brian Binley,Mr Brian Binley MP
3946,"Birtwistle, Gordon",Gordon Birtwistle,Gordon Birtwistle MP
692,"Blackburn, John",Dr John Blackburn,Dr John Blackburn
4005,"Blackman, Bob",Bob Blackman,Bob Blackman MP
329,"Blackman, Liz",Liz Blackman,Liz Blackman
1501,"Blackman-Woods, Roberta",Roberta Blackman-Woods,Roberta Blackman-Woods MP
4019,"Blackwood, Nicola",Nicola Blackwood,Nicola Blackwood MP
512,"Blair, Tony",Mr Tony Blair,Rt Hon Tony Blair
750,"Blaker, Peter",Sir Peter Blaker,Rt Hon Sir Peter Blaker
456,"Blears, Hazel",Hazel Blears,Rt Hon Hazel Blears MP
497,"Blencathra, L.",Lord Blencathra,The Rt Hon. the Lord Blencathra
4037,"Blenkinsop, Tom",Tom Blenkinsop,Tom Blenkinsop MP
138,"Blizzard, Bob",Mr Bob Blizzard,Mr Bob Blizzard
4058,"Blomfield, Paul",Paul Blomfield,Paul Blomfield MP
395,"Blunkett, David",Mr David Blunkett,Rt Hon David Blunkett MP
104,"Blunt, Crispin",Crispin Blunt,Crispin Blunt MP
147,"Boateng, L.",Lord Boateng,The Rt Hon. the Lord Boateng
344,"Body, Richard",Sir Richard Body,Sir Richard Body
3995,"Boles, Nick",Nick Boles,Nick Boles MP
1581,"Bone, Peter",Mr Peter Bone,Mr Peter Bone MP
1088,"Bonsor, Nicholas",Sir Nicholas Bonsor,Sir Nicholas Bonsor
982,"Booth, Albert",Albert Booth,Rt Hon Albert Booth
1092,"Booth, Hartley",Hartley Booth,Hartley Booth
679,"Boothroyd, B.",Baroness Boothroyd,The Rt Hon. the Baroness Boothroyd OM
476,"Borrow, David S.",Mr David S. Borrow,Mr David S. Borrow
751,"Boscawen, Robert",Robert Boscawen,Rt Hon Robert Boscawen
1617,"Bossom, Clive",Sir Clive  Bossom,Rt Hon Sir Clive  Bossom
1618,"Boston of Faversham, L.",Lord Boston of Faversham,The Lord Boston of Faversham QC
352,"Boswell of Aynho, L.",Lord Boswell of Aynho,The Lord Boswell of Aynho
2967,"Bottomley, L.",Lord Bottomley,The Lord Bottomley
117,"Bottomley, Peter",Sir Peter Bottomley,Sir Peter Bottomley MP
106,"Bottomley of Nettlestone, B.",Baroness Bottomley of Nettlestone,The Rt Hon. the Baroness Bottomley of Nettlestone
752,"Bowden, Andrew",Sir Andrew Bowden,Sir Andrew Bowden
753,"Bowden, Gerald",Gerald Bowden,Gerald Bowden
754,"Bowis, John",John Bowis,John Bowis
686,"Boyce, Jimmy",Jimmy Boyce,Jimmy Boyce
755,"Boyes, Roland",Roland Boyes,Roland Boyes
756,"Boyson, Rhodes",Sir Rhodes Boyson,Rt Hon Sir Rhodes Boyson
757,"Bradford, Robert",Rev Robert Bradford,Rev Robert Bradford
4110,"Bradley, Karen",Karen Bradley,Karen Bradley MP
452,"Bradley, L.",Lord Bradley,The Rt Hon. the Lord Bradley
277,"Bradley, Peter",Peter Bradley,Peter Bradley
1118,"Bradley, Tom",Tom Bradley,Tom Bradley
230,"Bradshaw, Ben",Mr Ben Bradshaw,Rt Hon Ben Bradshaw MP
435,"Brady, Graham",Mr Graham Brady,Mr Graham Brady MP
3497,"Braine of Wheatley, L.",Lord Braine of Wheatley,The Lord Braine of Wheatley DL
151,"Brake, Tom",Tom Brake,Rt Hon Tom Brake MP
75,"Brand, Peter",Dr Peter Brand,Dr Peter Brand
759,"Brandon-Bravo, Martin",Martin Brandon-Bravo,Martin Brandon-Bravo
760,"Brandreth, Gyles",Gyles Brandreth,Gyles Brandreth
3979,"Bray, Angie",Angie Bray,Angie Bray MP
761,"Bray, Jeremy",Dr Jeremy Bray,Dr Jeremy Bray
77,"Brazier, Julian",Mr Julian Brazier,Mr Julian Brazier MP
226,"Breed, Colin",Mr Colin Breed,Mr Colin Breed
